edu_code,current_year,class_10,class_12,cgpa,income,gender_code,category_code,is_obc_ncl,is_ews,state_code,has_income_cert,has_cat_cert,has_dom_cert,has_disability,disability_pct,is_minority,is_first_grad,is_single_girl,is_orphan,is_single_parent,is_ward_defense,is_farmer,sch_type_code,sch_max_income,sch_min_cgpa,sch_min_marks,sch_target_cat_code,sch_target_gender_code,sch_state_code,is_eligible,match_tier
2,2,70.94411991711469,87.5117901984169,0.0,2014480.4030914067,1,1,0,0,21,0,0,1,0,0.0,0,0,0,0,0,0,0,2,450000.0,8.0,0.0,0,2,21,0,0
2,4,55.124291164922454,62.78998343423905,0.0,121747.8689334979,1,1,0,0,5,1,0,1,0,0.0,0,0,0,0,0,0,0,3,800000.0,7.0,60.0,0,2,0,0,0
4,3,69.74024559609771,86.21292103796696,7.353813401145138,2000139.1175950353,2,2,0,0,17,0,1,1,0,0.0,0,1,0,0,0,0,0,2,800000.0,7.5,50.0,0,0,17,0,0
3,1,59.946927152386706,91.54569537639719,0.0,673751.7174232976,1,1,0,0,2,1,0,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,7.0,70.0,1,0,0,0,0
5,2,68.82771416478715,68.18617086725764,9.430377603019368,211119.15913278487,2,2,1,0,19,1,1,1,0,0.0,0,1,1,0,0,0,0,1,450000.0,6.0,60.0,0,0,0,1,3
5,1,93.04584367548857,70.11996693393223,8.271032918753033,85383.12150469366,1,1,0,0,10,0,0,0,0,0.0,0,1,0,0,0,0,1,2,450000.0,0.0,75.0,1,0,10,0,0
4,1,54.056816368672735,76.65573835953782,9.832659279747395,243923.34072859463,1,3,0,0,14,1,1,0,0,0.0,0,0,0,0,0,0,0,2,250000.0,0.0,50.0,0,0,14,1,3
4,2,75.69610707274512,57.36046981213946,6.680341634963475,198408.34426234438,2,2,1,0,22,1,1,1,0,0.0,0,0,0,0,0,0,0,1,150000.0,0.0,50.0,0,0,0,0,0
4,3,90.43107369431272,47.73668032734918,5.089388158998969,449780.44278147153,2,2,1,0,15,1,1,1,0,0.0,0,0,0,0,0,0,0,1,450000.0,0.0,0.0,3,0,0,0,0
4,4,65.39082522365669,76.47580417056864,6.809229359398492,213888.24943505225,2,1,0,0,8,1,0,1,0,0.0,0,0,0,0,0,0,0,3,150000.0,7.0,75.0,0,0,0,0,0
5,4,87.51269512406792,88.88086702040707,8.677459431350037,736010.6141354238,1,1,0,0,14,1,0,1,0,0.0,0,0,0,0,0,0,0,2,450000.0,0.0,75.0,0,0,14,0,0
2,3,76.05676690944362,67.87099158623145,0.0,228443.93094474412,2,1,0,0,15,1,0,1,0,0.0,0,1,0,0,0,1,0,2,800000.0,6.0,70.0,0,2,15,0,0
4,4,74.10984067820145,73.61261376698035,7.383151661778479,231750.5584478596,1,2,1,0,11,1,1,1,0,0.0,0,0,0,0,0,0,1,1,250000.0,7.0,60.0,0,2,0,0,0
4,3,57.32187405988454,75.5432830888411,7.972903727275995,228915.53884997783,2,4,0,0,23,0,1,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,7.0,0.0,0,2,0,1,2
4,3,85.40005990926792,68.96755086715979,6.100563632405912,181268.56163038398,1,2,1,0,1,1,1,1,1,69.85918174075198,0,0,0,0,0,0,0,2,450000.0,0.0,70.0,0,2,1,0,0
4,1,79.9988473784505,65.01947521432898,9.099167585132431,393523.57433767774,2,2,1,0,17,1,1,1,0,0.0,0,0,0,0,0,0,1,1,600000.0,7.0,0.0,0,0,0,1,2
4,2,66.28501980301716,75.18050644146552,9.348556364316165,427665.04770484054,2,5,0,1,14,1,1,1,0,0.0,0,0,1,0,0,1,1,2,250000.0,8.0,70.0,0,0,14,0,0
4,3,51.642949319385394,89.02468884795823,6.691441509918251,699020.6315732757,2,1,0,0,22,1,0,1,0,0.0,0,0,1,0,0,0,0,1,250000.0,7.0,50.0,0,2,0,0,0
5,2,93.88634271490395,51.24080739317748,7.824930730019842,214334.24020126346,2,3,0,0,23,0,0,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,6.0,80.0,0,0,23,0,0
5,1,68.68618947401487,60.30076804884709,6.742796310678251,393769.737249854,2,2,1,0,22,0,1,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,6.0,70.0,3,0,22,0,0
4,4,83.34543060101248,59.423692273188024,7.892130267658526,177326.56586613072,2,1,0,0,10,1,0,1,0,0.0,0,0,0,0,0,0,0,3,450000.0,7.0,0.0,4,0,0,0,0
3,2,77.26137106652621,93.52087977216621,0.0,125793.6213797472,1,4,0,0,18,1,1,1,1,60.48146582662702,0,0,0,0,0,0,0,3,450000.0,6.0,50.0,3,2,0,0,0
5,1,80.04278606897644,91.95682065651792,8.017729622093292,71952.06252452303,2,1,0,0,23,0,0,1,0,0.0,1,1,1,0,1,0,0,1,250000.0,0.0,50.0,3,0,23,0,0
4,4,63.78747159939592,60.70433038416748,6.144677980144559,71429.9147786731,3,2,1,0,4,1,1,1,0,0.0,0,0,0,0,0,0,1,3,250000.0,8.0,60.0,3,0,0,0,0
4,2,51.76313299647745,95.73532393811627,9.048407909390434,720382.2338396922,1,2,1,0,17,0,1,1,0,0.0,0,0,0,0,0,0,0,2,150000.0,8.0,50.0,0,2,17,0,0
3,4,51.70027368409016,62.43972236460316,0.0,1228817.0123618762,1,1,0,0,6,0,0,1,0,0.0,0,1,0,0,0,0,0,2,450000.0,7.0,70.0,0,0,6,0,0
5,1,85.22767610977769,72.62679654556199,9.25398793985258,82587.25277620208,1,2,1,0,21,1,1,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,7.5,70.0,3,0,21,0,0
4,2,65.66881167215806,74.67174855236796,5.567634898223263,170725.79237221798,2,1,0,0,19,1,0,1,0,0.0,0,0,0,0,0,0,1,1,600000.0,0.0,60.0,0,0,19,1,2
2,4,82.45050834496422,68.63579027154704,0.0,417551.6687382836,1,1,0,0,1,1,0,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,7.0,50.0,0,0,0,1,2
4,1,96.23535936512633,46.65902262861836,8.583223328171059,1238588.8073673998,2,3,0,0,5,0,1,1,0,0.0,0,1,1,0,0,0,0,3,250000.0,7.5,70.0,2,2,0,0,0
5,4,64.12006272048694,93.32730985287529,9.740805191707512,106967.78326125286,1,2,1,0,20,1,1,1,0,0.0,0,0,0,0,0,0,1,1,250000.0,6.0,60.0,0,0,0,1,3
5,4,84.76569479006777,84.705566872368,5.715018162772212,115672.36014753315,1,2,1,0,1,1,0,1,0,0.0,1,0,0,0,0,0,1,2,600000.0,7.5,50.0,0,0,1,0,0
5,3,93.01862252888183,76.52316178097762,8.021362451126123,393906.87090698513,2,5,0,1,20,1,1,0,0,0.0,0,0,0,0,0,0,1,1,250000.0,0.0,75.0,0,2,0,0,0
4,3,70.81545602990667,47.31406785849014,5.792195466319333,122261.0415389864,1,2,1,0,10,1,1,1,0,0.0,0,1,0,0,0,0,0,2,600000.0,6.0,60.0,3,0,10,0,0
4,2,73.36010918838574,91.291431618328,9.413439133655167,192146.22377880412,2,4,0,0,12,1,1,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,0.0,50.0,3,0,0,0,0
4,1,68.77191375928452,96.37885308377024,6.264853820235525,396015.2051379756,2,1,0,0,13,1,0,1,0,0.0,0,0,0,0,0,0,0,3,250000.0,6.0,50.0,3,0,0,0,0
5,4,88.67216734160255,76.02378131302787,9.254529274514969,78953.56955181823,1,1,0,0,5,1,0,0,0,0.0,0,0,0,0,0,0,1,3,9999999.0,0.0,80.0,3,2,0,0,0
4,2,66.44736742980393,73.20898440779385,5.61613340785258,81483.38896315143,2,3,0,0,8,1,0,1,0,0.0,0,1,0,0,0,0,0,2,800000.0,7.0,0.0,1,0,8,0,0
5,3,95.16201710422712,88.8224608367295,8.268160433255446,397885.89337935764,1,2,1,0,1,1,1,1,0,0.0,0,0,0,0,0,0,0,2,600000.0,6.0,70.0,0,0,1,1,2
4,3,80.25001991979892,77.32108569143081,7.760850744007448,213879.97773211813,2,2,1,0,6,0,1,1,0,0.0,0,0,0,0,0,1,0,1,250000.0,7.0,60.0,3,0,0,0,0
5,3,75.01923835929605,88.58685119730407,7.111224248536363,675702.4216044131,2,3,0,0,19,0,1,1,0,0.0,0,0,0,0,0,0,0,2,600000.0,0.0,50.0,0,0,19,0,0
5,2,88.38949258035304,54.78301186546275,6.4468636171795195,684818.2757237927,2,2,0,0,22,1,0,1,0,0.0,0,0,0,0,0,0,0,3,800000.0,6.0,50.0,2,0,0,1,2
4,2,88.85743883688521,85.63277516562152,5.7335494429890925,182238.70406628502,1,4,0,0,1,1,0,0,0,0.0,0,0,0,0,0,0,0,3,150000.0,7.0,50.0,0,0,0,0,0
3,4,89.29793874172317,76.97062874130873,0.0,242441.9833863739,2,1,0,0,5,1,0,1,0,0.0,0,0,1,0,0,0,0,2,800000.0,7.0,60.0,0,0,5,1,3
5,3,68.16686832732171,64.23604640783758,9.87785440445086,196685.56395777603,2,1,0,0,5,0,0,1,0,0.0,0,1,0,0,0,0,0,3,250000.0,6.0,0.0,6,2,0,0,0
2,1,54.460598930210715,58.623505120900234,0.0,739174.8953626832,2,2,1,0,14,0,1,1,0,0.0,0,1,0,0,0,0,0,1,600000.0,7.0,60.0,0,0,0,0,0
4,1,68.26991808687585,91.53263898358868,9.253477781526506,733202.4349045649,1,1,0,0,21,0,0,1,0,0.0,0,0,0,0,0,0,0,2,150000.0,8.0,70.0,0,2,21,0,0
2,1,67.6416522699935,48.61313239743116,0.0,80813.30313238583,2,2,1,0,13,1,1,1,0,0.0,1,1,0,0,0,0,1,1,450000.0,7.5,60.0,0,0,0,0,0
4,4,64.55720708324459,50.355427983564276,8.391590574301247,110753.77025198318,3,3,0,0,7,1,1,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,6.0,80.0,0,0,7,0,0
4,2,62.471034019761646,85.29536062547317,5.671837558072095,187216.149761379,1,1,0,0,21,0,0,0,1,56.71338554425633,0,0,0,0,0,0,1,3,250000.0,7.0,70.0,3,2,0,0,0
3,1,95.85606495218856,86.70587947153064,0.0,225050.77648692337,1,1,0,0,10,1,0,1,0,0.0,0,0,0,0,0,0,0,2,800000.0,0.0,80.0,0,0,10,1,3
4,3,84.38352262700874,48.82046980792969,5.349157966049767,146520.11186395842,2,2,1,0,11,1,1,1,0,0.0,0,0,0,0,0,0,0,3,600000.0,0.0,80.0,4,0,0,0,0
4,1,80.90740416997427,73.10601306220539,5.205560994815018,1233897.135332366,1,5,0,0,22,0,1,1,0,0.0,0,1,0,0,0,0,1,1,450000.0,6.0,0.0,0,2,0,0,0
4,1,80.99891900744989,60.153059829675485,8.998140000946226,737721.1470952223,2,1,0,0,13,1,0,1,0,0.0,0,1,1,0,0,0,0,2,150000.0,7.0,0.0,6,0,13,0,0
4,4,85.17447414878004,73.73857189106796,7.892703683247987,193803.87610550565,2,3,0,0,7,1,1,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,7.0,70.0,3,0,7,1,2
4,1,76.6028726783368,45.277169517774375,8.72885472413766,129658.70261849857,1,5,0,1,20,1,0,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,7.0,0.0,3,0,0,0,0
4,3,91.96459858929141,72.03581476243774,8.544683351500204,88035.1004370955,2,1,0,0,2,1,0,1,1,54.49486019031335,0,1,0,0,0,0,0,2,250000.0,0.0,70.0,0,0,2,1,3
4,4,85.31182948348112,97.91241810382633,9.572255323583434,403699.84426352574,2,3,0,0,15,1,1,1,0,0.0,0,1,0,0,1,1,0,1,450000.0,0.0,75.0,0,0,0,1,3
2,1,73.08348803614734,68.06456116053391,0.0,1226481.520613122,2,1,0,0,7,0,0,1,0,0.0,0,0,1,0,0,0,0,3,150000.0,0.0,50.0,0,0,0,0,0
4,4,67.81794050671992,67.73100457963504,9.139468237801506,182510.54435227584,2,1,0,0,18,1,0,1,0,0.0,0,0,0,0,0,0,0,3,150000.0,6.0,50.0,4,2,0,0,0
5,2,59.17715367030987,62.927944582614465,6.512623842528657,1247388.494223062,1,1,0,0,21,0,0,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,6.0,0.0,0,0,0,0,0
3,4,60.37234175289476,50.17081304268289,0.0,706812.9811590752,2,1,0,0,15,1,0,1,0,0.0,1,0,0,0,0,0,0,2,250000.0,8.0,75.0,2,0,15,0,0
4,2,86.03501633596866,74.57297915547991,7.707316712435354,97493.05540872825,1,2,1,0,7,1,1,1,0,0.0,0,1,0,0,0,0,0,2,600000.0,6.0,75.0,3,0,7,0,0
5,4,57.96964704397738,77.51407634787634,6.779193609506651,683508.3365342149,2,2,0,0,8,1,1,1,0,0.0,0,1,0,0,0,0,0,3,600000.0,7.0,0.0,2,0,0,0,0
4,1,54.46546335008131,46.556300432426795,9.032496386485281,100322.17009752779,2,2,1,0,6,1,1,1,0,0.0,0,0,0,0,0,0,1,2,800000.0,0.0,50.0,0,0,6,0,0
4,2,79.46131610315355,68.08178908310245,7.828523680766205,434495.67048030323,2,1,0,0,1,0,0,1,0,0.0,0,1,1,0,0,0,0,2,600000.0,6.0,50.0,0,0,1,1,2
4,2,86.44393918692046,92.89121575038014,6.1405394207963155,674727.5112062603,2,3,0,0,6,1,1,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,8.0,50.0,2,0,0,0,0
5,1,90.29412365603682,97.03533074281327,8.044588036542295,420259.0488370625,2,2,1,0,6,0,0,1,1,65.52268509637236,0,0,1,0,0,0,1,3,800000.0,6.0,50.0,6,0,0,0,0
2,4,51.6641728028712,75.88876225942495,0.0,2038455.687507003,2,1,0,0,20,0,0,1,0,0.0,0,0,1,0,0,0,1,2,150000.0,8.0,60.0,0,0,20,0,0
4,2,79.1402997785002,78.4593003138754,7.899316095300995,388994.6774699845,2,1,0,0,22,1,0,1,0,0.0,0,0,0,0,0,0,1,1,450000.0,8.0,50.0,0,0,0,0,0
5,2,79.31744341163687,59.87621042234664,6.014263634348291,170440.46393283366,1,1,0,0,11,1,0,1,0,0.0,0,1,0,0,1,0,0,1,800000.0,6.0,75.0,3,0,0,0,0
4,3,56.31147775510312,59.56077085253453,6.933422770428468,202881.68602124366,2,3,0,0,12,1,1,1,0,0.0,0,0,1,0,0,0,0,1,600000.0,7.5,60.0,0,0,0,0,0
2,4,53.848640675931364,63.80287846730717,0.0,1223485.811737833,2,2,0,0,11,0,1,1,0,0.0,1,1,1,0,0,0,0,3,800000.0,7.0,60.0,0,0,0,0,0
2,2,76.81483502962041,63.187869718150885,0.0,422183.3318873552,2,3,0,0,18,1,0,1,0,0.0,0,1,0,0,0,0,1,3,150000.0,6.0,0.0,0,0,0,0,0
4,3,56.844518915931616,92.17514286474184,6.694799557615502,72035.82079246007,2,2,1,0,11,1,1,1,0,0.0,0,0,0,0,0,0,1,2,9999999.0,6.0,0.0,0,0,11,1,3
4,2,65.03390053136835,52.79427808002919,7.390470866242792,136838.41891058622,1,2,1,0,6,1,1,1,0,0.0,0,0,0,0,0,0,1,2,450000.0,7.5,70.0,0,0,6,0,0
4,3,58.50420441304954,71.89465740434633,8.319197875441713,136455.08084160613,2,1,0,0,3,0,0,1,0,0.0,0,0,0,0,0,0,0,1,800000.0,7.0,75.0,0,0,0,0,0
4,3,91.75851966308888,51.924574222643535,8.873497991946937,133536.85300395242,1,4,0,0,12,1,1,1,0,0.0,0,0,0,0,0,0,0,1,450000.0,8.0,50.0,4,2,0,0,0
4,3,86.69733414342645,75.39703442714539,9.684631003698472,78741.13682476971,2,2,1,0,8,0,1,1,0,0.0,0,0,1,0,0,0,0,1,250000.0,6.0,70.0,0,0,0,1,3
4,3,59.63124883538054,97.71637800267989,5.440079555985593,73532.95489422651,1,2,0,0,13,1,1,1,0,0.0,0,0,0,0,0,0,0,1,150000.0,6.0,0.0,2,2,13,0,0
3,3,91.70932410939896,81.13267813677854,0.0,137365.95499188633,1,2,0,0,13,1,1,1,0,0.0,0,1,0,0,1,0,0,2,250000.0,0.0,50.0,0,0,13,1,3
4,3,74.14802963743215,68.81553632810103,7.870737463422245,375742.06449812104,2,1,0,0,14,1,0,1,0,0.0,0,1,0,0,0,0,1,2,150000.0,7.0,50.0,0,0,14,0,0
4,4,78.48731662284487,92.47351647408716,7.858005937283923,197229.65970446102,2,1,0,0,11,1,0,1,0,0.0,0,0,0,0,0,0,0,2,150000.0,0.0,60.0,1,2,11,0,0
5,3,58.01374825986554,82.79144068361889,8.265288526533212,1230883.0232200627,2,3,0,0,9,0,0,1,0,0.0,1,0,0,0,0,0,1,1,250000.0,0.0,70.0,0,2,0,0,0
4,1,91.74863248072211,83.71630713081589,8.173794538208316,730321.8427942706,1,2,1,0,4,1,1,1,0,0.0,0,1,0,0,0,0,1,1,450000.0,0.0,70.0,0,0,0,0,0
4,4,95.54460587989426,46.66535654009746,8.607382082797734,242485.2708549092,1,3,0,0,4,0,1,1,0,0.0,0,1,0,0,0,0,1,1,250000.0,0.0,50.0,0,0,0,0,0
4,1,67.84348615550385,45.07174216291981,6.469022585069656,447935.55550530856,2,1,0,0,11,1,0,1,0,0.0,0,1,0,0,0,0,0,1,600000.0,7.0,80.0,0,0,0,0,0
5,4,53.62904194960404,64.38107965785268,6.104368213233153,81264.23591141409,2,3,0,0,13,1,1,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,7.0,75.0,0,0,13,0,0
4,2,75.42366674938975,57.82034458798313,7.452957498658067,376099.13743788516,1,3,0,0,18,1,1,1,0,0.0,0,0,0,0,0,0,0,2,250000.0,7.0,0.0,3,0,18,0,0
4,3,97.09489912600745,75.18560831705649,6.271754737562842,217484.87483030287,1,2,1,0,4,1,1,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,6.0,70.0,6,0,0,0,0
5,1,50.433846515806025,63.922555230410644,9.538350935315732,120749.09510973498,1,2,1,0,8,1,1,1,0,0.0,0,1,0,0,0,0,0,2,450000.0,6.0,60.0,0,0,8,1,3
4,3,77.7018841298394,63.92742144292665,8.85899052070802,215125.92230668143,1,3,0,0,18,1,1,1,1,77.79172729654888,0,1,0,0,0,0,0,1,600000.0,7.0,50.0,0,2,18,0,0
4,3,95.42991263121947,92.30558605678314,7.055295170390837,708106.858664088,2,1,0,0,8,0,0,1,0,0.0,0,1,1,0,0,0,0,3,250000.0,7.0,70.0,4,0,0,0,0
4,4,63.92140129514748,94.3435284569209,6.91993742008915,212561.73431874014,2,1,0,0,6,0,0,1,0,0.0,0,0,0,1,0,0,0,2,600000.0,7.5,50.0,0,0,6,0,0
5,3,63.02905172644161,51.64389321699644,6.651127156015537,2002460.0934892048,1,3,0,0,22,0,1,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,7.0,50.0,4,0,22,0,0
4,1,58.26028300617245,96.53825994912548,7.199186864158369,84415.66033025183,1,3,0,0,15,1,1,1,0,0.0,0,1,0,0,0,0,0,2,600000.0,7.0,75.0,0,0,15,1,3
4,4,68.5873890165486,93.04832716562463,5.07870313840693,679950.626499306,2,2,1,0,23,1,1,1,0,0.0,0,1,0,0,0,0,0,2,250000.0,0.0,75.0,0,0,23,0,0
4,4,89.18771767832148,71.58031945842589,5.347368721867298,244823.76788362622,2,5,0,1,19,0,1,0,0,0.0,0,0,0,0,0,0,0,1,600000.0,0.0,50.0,4,0,19,0,0
4,4,97.1383777767662,86.59767661682065,8.59408505781131,132479.67148919933,2,2,1,0,18,1,1,0,0,0.0,0,1,0,0,0,0,0,1,450000.0,0.0,60.0,3,0,0,0,0
4,2,96.48979192159483,76.99277162964688,5.377199388618335,146113.85766764526,1,1,0,0,12,1,0,0,0,0.0,0,0,0,0,0,0,0,2,450000.0,0.0,0.0,0,0,12,1,2
4,1,95.34734042158783,84.036367101744,9.326669741665889,117006.86968875215,2,3,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,1,1,250000.0,0.0,70.0,1,0,0,0,0
4,1,71.04247904147654,97.80190118581848,6.122942560949395,223654.04203058605,2,1,0,0,7,0,0,1,0,0.0,1,1,0,0,0,0,0,2,450000.0,7.0,0.0,6,2,7,0,0
2,3,73.68804762341159,60.015152408521324,0.0,701795.8525519273,2,1,0,0,14,1,0,1,0,0.0,0,0,0,0,0,0,1,2,250000.0,8.0,60.0,2,0,14,0,0
4,3,94.94146983050848,48.392336370256906,9.041241863000337,205513.55636051024,1,2,1,0,11,1,1,1,0,0.0,0,0,0,0,0,0,1,1,600000.0,8.0,70.0,4,0,0,0,0
4,4,71.27871245682442,74.32914995688462,6.248923019682923,376130.8645180199,2,3,0,0,14,1,1,1,0,0.0,0,0,0,0,0,0,0,1,800000.0,7.0,70.0,2,0,0,0,0
5,1,72.04108321916297,66.78796127066332,8.53745321482683,209150.1159176536,1,3,0,0,21,1,1,1,0,0.0,1,1,0,0,0,0,0,1,250000.0,6.0,60.0,0,0,0,1,3
4,3,85.97074173445563,75.31134680408184,9.832608692561868,230309.205906954,2,3,0,0,8,1,1,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,0.0,50.0,2,0,0,0,0
4,1,79.34415690639905,90.43737182512456,8.298907552837205,240849.58113934187,1,3,0,0,16,0,1,1,0,0.0,0,0,0,0,0,0,0,1,800000.0,8.0,60.0,0,0,0,1,3
2,4,59.981905245890715,47.225227732208175,0.0,184537.8634582525,2,4,0,0,20,1,0,1,0,0.0,0,0,0,0,0,0,0,1,250000.0,6.0,70.0,4,0,20,0,0
4,2,90.43162422799683,64.7817812880994,8.096744533941326,78294.28645874212,1,2,1,0,5,1,1,1,0,0.0,1,1,0,0,0,0,0,1,250000.0,0.0,60.0,0,0,0,1,3
4,2,57.51088236817283,70.11782466615344,8.510345848594685,186180.3344419628,1,1,0,0,2,1,0,1,0,0.0,0,1,0,0,0,0,0,2,250000.0,7.0,50.0,1,0,2,1,3
4,1,89.64404995116946,69.54507983338812,6.364441977230507,435901.39166392985,1,3,0,0,15,1,1,1,0,0.0,0,0,0,0,1,0,1,3,250000.0,7.0,0.0,4,0,0,0,0
2,4,85.3389863613704,68.13023873266843,0.0,377546.1941032835,2,3,0,0,6,0,1,1,0,0.0,0,0,0,0,1,0,1,1,250000.0,7.5,60.0,0,0,0,0,0
4,2,93.99695847883572,82.42640061230986,6.513884351333948,110930.85743160617,1,5,0,1,5,1,1,1,0,0.0,0,0,0,0,0,0,0,3,800000.0,6.0,60.0,0,2,0,0,0
5,1,72.13601126018767,94.81638497440059,7.469618441621998,1236626.552149526,1,4,0,0,23,0,1,1,1,68.99155256428652,0,1,0,0,0,0,0,1,150000.0,7.0,60.0,1,0,0,0,0
4,3,83.58269934186184,89.42221367439805,8.933773580640054,1212874.8063081694,2,2,0,0,13,0,1,1,0,0.0,1,0,1,0,0,0,0,3,450000.0,0.0,60.0,3,0,0,0,0
5,3,85.3964521169925,60.185536093137515,8.932937530529355,1972402.0804263514,2,2,0,0,23,0,1,1,0,0.0,1,0,0,0,0,0,0,2,600000.0,6.0,0.0,0,0,23,0,0
3,4,58.03957227651717,52.80560486826082,0.0,2030743.400553478,2,2,0,0,23,0,1,1,0,0.0,0,1,0,0,0,0,1,3,150000.0,6.0,75.0,0,0,0,0,0
4,4,79.62650268213923,53.266985776043455,7.344630969654213,694289.9150515072,1,1,0,0,23,0,0,1,0,0.0,0,1,0,0,0,0,0,2,600000.0,7.5,50.0,3,2,23,0,0
3,1,95.14012195043586,45.838628115831504,0.0,207669.38849785415,2,2,1,0,7,0,1,1,0,0.0,0,0,0,0,0,0,0,2,800000.0,6.0,80.0,1,0,7,0,0
4,3,77.40211600829485,54.819328835316156,6.365351009263678,84627.02238950536,2,1,0,0,6,1,0,1,0,0.0,0,0,0,0,0,0,0,1,600000.0,0.0,50.0,2,0,0,0,0
4,3,78.81351010534578,47.83626653439129,6.844998410167562,91229.60892815804,2,1,0,0,8,1,0,0,0,0.0,0,1,0,0,0,0,1,2,250000.0,7.0,80.0,2,0,8,0,0
